"Concept","Q1","Q2","T","S_obs","U","S_hat","sd_S_hat","CI_L","CI_U","C_T"
"apple",22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783
"broom",18,3,34,32,123,84.4117647058823,39.7305805537985,45.9916125842099,228.331413770337,0.855121951219512
"dog",29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109
"eye",14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035
"hand",19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638
"horse",28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496
"leg",24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707
"potato",14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255
"shoes",16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613
"sweater",31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718
"sword",13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361
"table",17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863
"train",21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015
